Sr.no,ID,Name of News,youtube link,https://youtu.be/ATOcPSGRgVk?si=pnFohU9qeZqgbPXj,Duration,standard duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Pecha Tools,Group,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
15.0,STT_NW0015,༄༅། །བོད་སིལ་བུར་འཐོར་བའི་རྗེས་སུ་རྒྱལ་ཕྲན་ཁག་བྱུང་རབས,https://youtu.be/diF8uXif9y0?si=aLYuqErTde0GBFq2,Youtube,0:10:58,00:10:58,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
16.0,STT_NW0016,༄༅། །བོད་སིལ་བུར་འཐོར་བའི་རྗེས་སུ་རྒྱལ་ཕྲན་ཁག་བྱུང་རབས། ལེའུ། གཉིས་པ།,https://youtu.be/dWHe8NEDbrI?si=AbIj_VFN4g6FL_lw,Youtube,0:11:30,00:11:29,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
17.0,STT_NW0017,གཉའ་ཁྲི་བཙན་པོ་བོད་ཀྱི་རྒྱལ་པོར་འཁོད་ཚུལ།,https://youtu.be/YO75zI5TvD4?si=TCfK7VK281iN52Fp,Youtube,0:10:39,00:10:38,2021.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
18.0,STT_NW0018,བོད་ཀྱི་གཏམ་དཔེའི་རིན་ཐང་དང་རྒྱུན་སྤྱོད་སྐོར།,https://youtu.be/8YOJ4BhB1AQ?si=vUe87SzyxYbtKedn,Youtube,0:18:01,00:18:01,2021.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
19.0,STT_NW0019,ལོ་རྒྱུས་མེ་ལོང་། སྔོན་གླེང་།,https://youtu.be/QP5nvNeZP1c?si=MB-B0ztWangtwuIX,Youtube,0:12:14,00:12:13,2021.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
20.0,STT_NW0020,ཆོས་རྒྱལ་སྲོང་བཙན་སྒམ་པོའི་སྐབས་བོད་ཁམས་གཅིག་གྱུར་ཆགས་ཚུལ།,https://youtu.be/06fmxiQDH5U?si=pEo2luApeTDZgXQj,Youtube,0:16:00,00:16:05,2021.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
21.0,STT_NW0021,༄༅། །ཆོས་རྒྱལ་ཁྲི་སྲོང་སྐབས་བོད་ཀྱི་ཆབ་སྲིད་མངའ་ཐང་།,https://youtu.be/pjEJozQ09VY?si=irZWzBjHYCJEynit,Youtube,0:13:03,00:13:03,2021.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
22.0,STT_NW0022,༄༅། །ལོ་རྒྱུས་མེ་ལོང་། ཕྱི་ལོ་ ༡༩༡༣ ལོར་བོད་སོག་དབར་བཞག་པའི་མཛའ་གྲོགས་ཀྱི་ཆིངས་ཡིག་སྐོར།,https://youtu.be/31zdfp9D4E8?si=yvMURwFbqjOFp6AM,Youtube,0:26:12,00:26:11,2022.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
23.0,STT_NW0023,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ཕྱི་ཟླ་ ༡༢ པའི་གསར་འགྱུར་ཕྱོགས་བསྡུས་ཀྱི་ལས་རིམ། དབུས་སྐད།,https://youtu.be/5RX1HX-7X9M?si=xNrdb65XxIei5-4d,Youtube,0:15:57,00:15:56,2024.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
24.0,STT_NW0024,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/g93luPufP1g?si=q64o_Z58uorbKti1,Youtube,0:06:38,00:06:38,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
25.0,STT_NW0025,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/6ilfDx0W7is?si=nIDOyqsKjh60_Jih,Youtube,0:08:28,00:08:27,2019.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
26.0,STT_NW0026,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/QHrF3uhLPss?si=3BeeXgYLRIOLaYIg,Youtube,0:13:24,00:13:23,2018.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
27.0,STT_NW0027,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/zYI58yy2fm8?si=KXzO3NkPcH4hplG7,Youtube,0:11:32,00:11:31,2018.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
28.0,STT_NW0028,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/d5NAwqwDjIU?si=vz_33-wIGAs3Q7jU,Youtube,0:09:11,00:09:10,2020.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
29.0,STT_NW0029,༢༠༡༦ ཟླ་ ༡༢ ཚེས་ ༢༨ བོད་ཀྱི་བརྙན་འཕྲིན་གསར་འགྱུར།,https://youtu.be/IydRabYv02Y?si=SXZMePuYDvV6hMmh,Youtube,0:19:20,00:19:19,2016.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
